BIOAC;HT;HF;H;ACI;NDSI;ADI;NP;FILE;START;SM
21,65185665;0,975876429;0,954178319;0,93116013;4294,899416;0,994350782;2,376873;24;SMA11316_20260907_010000.wav;07/09/2026 01:00;SMA11316
13,1898082;0,978435853;0,932494826;0,912386371;4577,430231;0,968972577;2,406027;14;SMA11316_20260907_020000.wav;07/09/2026 02:00;SMA11316
10,87596372;0,97645215;0,94058092;0,918432262;4703,227589;0,93455599;2,48357;18;SMA11316_20260907_030000.wav;07/09/2026 03:00;SMA11316
9,397149722;0,978131427;0,940831956;0,920257304;4726,323152;0,920037126;2,484441;15;SMA11316_20260907_040000.wav;07/09/2026 04:00;SMA11316
8,583303175;0,963950097;0,977998617;0,942741861;4958,250151;0,618270115;2,272186;9;SMA11316_20260907_050000.wav;07/09/2026 05:00;SMA11316
5,737067505;0,979398731;0,936769043;0,917470412;4728,186965;0,60836177;2,483221;18;SMA11316_20260907_060000.wav;07/09/2026 06:00;SMA11316
20,57130343;0,957112547;0,959877096;0,918710413;4748,912316;0,940420237;2,078014;9;SMA11316_20260907_070000.wav;07/09/2026 07:00;SMA11316
22,18560164;0,967168174;0,964470109;0,932804794;4473,908881;-0,041203565;2,254737;4;SMA11316_20260907_080000.wav;07/09/2026 08:00;SMA11316
22,38351405;0,95379215;0,941960543;0,898434572;4293,44883;-0,367471992;1,800373;5;SMA11316_20260907_090000.wav;07/09/2026 09:00;SMA11316
15,23087142;0,973141845;0,962643676;0,936788843;4394,371834;-0,119481537;1,894785;10;SMA11316_20260907_100000.wav;07/09/2026 10:00;SMA11316
10,19077533;0,982664801;0,962755825;0,946066261;4405,35425;0,152036087;2,478478;5;SMA11316_20260907_110000.wav;07/09/2026 11:00;SMA11316
11,64332377;0,978502472;0,973909977;0,95297332;4386,226848;0,547147672;2,283138;7;SMA11316_20260907_120000.wav;07/09/2026 12:00;SMA11316
15,28199656;0,977143507;0,976447627;0,954129458;4400,082544;0,394912188;2,060425;3;SMA11316_20260907_130000.wav;07/09/2026 13:00;SMA11316
11,4699081;0,957505085;0,972177976;0,930865356;4477,476819;0,028213976;1,607117;6;SMA11316_20260907_140000.wav;07/09/2026 14:00;SMA11316
15,27236845;0,942979961;0,980421532;0,924517858;4443,917034;0,307097322;2,039903;1;SMA11316_20260907_150000.wav;07/09/2026 15:00;SMA11316
13,41099603;0,973783087;0,967895443;0,942520213;4374,353293;0,101991996;1,403611;9;SMA11316_20260907_160000.wav;07/09/2026 16:00;SMA11316
15,55450394;0,962958792;0,977135852;0,940941559;4471,951112;0,416232164;2,247358;10;SMA11316_20260907_170000.wav;07/09/2026 17:00;SMA11316
17,14417555;0,976116151;0,968432399;0,945302506;4564,742727;-0,165866905;2,437809;7;SMA11316_20260907_180000.wav;07/09/2026 18:00;SMA11316
18,63667897;0,975387489;0,969295143;0,945438356;4343,836008;-0,278998023;2,356938;13;SMA11316_20260907_190000.wav;07/09/2026 19:00;SMA11316
19,97361375;0,947065024;0,955026518;0,904472213;4366,422626;0,977919778;2,243818;19;SMA11316_20260907_200000.wav;07/09/2026 20:00;SMA11316
22,76175194;0,978198561;0,9396751;0,919188831;4503,516188;0,998597181;2,352632;12;SMA11316_20260907_210000.wav;07/09/2026 21:00;SMA11316
22,72807606;0,977159079;0,936926882;0,915526608;4539,03643;0,999115272;2,325252;12;SMA11316_20260907_220000.wav;07/09/2026 22:00;SMA11316
23,92295397;0,977060363;0,92818641;0,906894151;4519,330124;0,999779756;2,274215;14;SMA11316_20260907_230000.wav;07/09/2026 23:00;SMA11316
24,33452475;0,975690459;0,943289816;0,920358873;4471,496797;0,994824886;2,335247;12;SMA11316_20260908_000000.wav;08/09/2026;SMA11316
16,38393544;0,978180712;0,960060685;0,939112844;4437,670923;0,970421511;2,446959;20;SMA11316_20260908_010000.wav;08/09/2026 01:00;SMA11316
24,13094605;0,972681137;0,953492017;0,927443699;4531,879407;0,978294398;2,312143;11;SMA11316_20260908_020000.wav;08/09/2026 02:00;SMA11316
24,20473361;0,973931516;0,935138334;0,910760695;4544,602954;0,999349728;2,252826;16;SMA11316_20260908_030000.wav;08/09/2026 03:00;SMA11316
23,87716625;0,965767605;0,92734814;0,895602792;4617,30551;0,99974236;2,218845;14;SMA11316_20260908_040000.wav;08/09/2026 04:00;SMA11316
7,751300635;0,973517264;0,931634754;0,906962516;4557,109607;0,874653413;2,119309;9;SMA11316_20260908_050000.wav;08/09/2026 05:00;SMA11316
9,19090463;0,986145199;0,950031649;0,93686915;4507,917986;0,893840723;2,473821;13;SMA11316_20260908_060000.wav;08/09/2026 06:00;SMA11316
15,63446209;0,981219144;0,943525565;0,925805347;4231,682942;-0,010587364;1,770384;12;SMA11316_20260908_070000.wav;08/09/2026 07:00;SMA11316
16,86055986;0,977937561;0,946821127;0,925931944;4316,848115;-0,321760469;1,846193;11;SMA11316_20260908_080000.wav;08/09/2026 08:00;SMA11316
22,38744657;0,971449854;0,955256688;0,92798397;4472,148174;-0,133100904;1,951018;7;SMA11316_20260908_090000.wav;08/09/2026 09:00;SMA11316
24,07221735;0,956312979;0,966862788;0,924623433;4634,213376;0,459591819;1,947791;7;SMA11316_20260908_100000.wav;08/09/2026 10:00;SMA11316
14,40949698;0,97579297;0,957398858;0,934223075;4410,869399;-0,416123632;1,957856;3;SMA11455_20260905_150000.wav;05/09/2026 15:00;SMA11455
15,56809498;0,980165577;0,96535664;0,946209348;4400,82147;-0,251657338;2,42041;2;SMA11455_20260905_160000.wav;05/09/2026 16:00;SMA11455
11,03172488;0,971901957;0,949099655;0,922431812;4387,870757;-0,406678136;1,7507;0;SMA11455_20260905_170000.wav;05/09/2026 17:00;SMA11455
11,00697525;0,98164716;0,952248591;0,934772125;4370,264115;-0,318313606;1,41173;2;SMA11455_20260905_180000.wav;05/09/2026 18:00;SMA11455
11,02196301;0,982390088;0,950377219;0,933641159;4358,906765;-0,340122824;2,378564;1;SMA11455_20260905_190000.wav;05/09/2026 19:00;SMA11455
10,62015864;0,983190278;0,953384403;0,937358277;4370,21601;-0,088527246;2,46142;2;SMA11455_20260905_200000.wav;05/09/2026 20:00;SMA11455
8,554292177;0,984396858;0,969712066;0,95458151;4404,902436;0,589995222;2,481878;4;SMA11455_20260905_210000.wav;05/09/2026 21:00;SMA11455
10,96837755;0,968456342;0,979629945;0,948728833;4492,221187;0,696152539;2,284079;10;SMA11455_20260905_220000.wav;05/09/2026 22:00;SMA11455
9,10237826;0,992795349;0,971783637;0,964782275;4418,071829;0,551173718;2,448297;5;SMA11455_20260905_230000.wav;05/09/2026 23:00;SMA11455
8,345253727;0,971416445;0,963071138;0,935543142;4382,696219;0,312374119;1,909522;1;SMA11455_20260906_000000.wav;06/09/2026;SMA11455
11,34170798;0,98589134;0,983602617;0,969725302;4534,684836;0,823844613;2,478036;11;SMA11455_20260906_010000.wav;06/09/2026 01:00;SMA11455
8,168964921;0,985537823;0,967480156;0,953488287;4393,155423;0,541338643;2,480513;2;SMA11455_20260906_020000.wav;06/09/2026 02:00;SMA11455
9,658228542;0,984796746;0,977668185;0,962804448;4428,394538;0,643026859;2,478121;13;SMA11455_20260906_030000.wav;06/09/2026 03:00;SMA11455
8,482018903;0,985491353;0,965123516;0,95112088;4404,539526;0,475827165;2,481159;3;SMA11455_20260906_040000.wav;06/09/2026 04:00;SMA11455
8,510689837;0,985311289;0,964352135;0,950187046;4403,904411;0,442414425;2,481001;5;SMA11455_20260906_050000.wav;06/09/2026 05:00;SMA11455
11,56434031;0,98415562;0,974558234;0,959116963;4513,794625;0,739772192;2,337515;14;SMA11455_20260906_060000.wav;06/09/2026 06:00;SMA11455
13,37425544;0,98059792;0,945192598;0,926853896;4422,956139;0,541535244;2,422115;4;SMA11455_20260906_070000.wav;06/09/2026 07:00;SMA11455
11,3313082;0,972751879;0,95048942;0,924590369;4370,925644;-0,263518524;1,484886;4;SMA11455_20260906_080000.wav;06/09/2026 08:00;SMA11455
16,08106247;0,975165665;0,946838796;0,923324684;4464,477733;-0,027054058;2,097594;6;SMA11455_20260906_090000.wav;06/09/2026 09:00;SMA11455
18,38661096;0,976566112;0,954115989;0,931757341;4477,627698;0,729124464;2,195086;3;SMA11455_20260906_100000.wav;06/09/2026 10:00;SMA11455
